GameID,EventType,Period,Time,Strength,Team,Description,ScoreState,ScrapedAt
1151048,PeriodScore,Final,,,The Shockers,1,,2025-12-18
1151048,PeriodScore,Final,,,Don Cherry's,6,,2025-12-18
1151048,Star,1ST STAR,,,Don Cherry's,Koch Tsatsos,,2025-12-18
1151048,Star,2ND STAR,,,Don Cherry's,Ryan Willms,,2025-12-18
1151048,Star,3RD STAR,,,The Shockers,Maxime Gagnon,,2025-12-18
1151048,Goal,2nd,07:41,Ev,The Shockers,"#85 Maxime Gagnon (#24 Patrick Mcmullan, #3 Caden Bower)",1 - 0 Shockers,2025-12-18
1151048,Goal,2nd,04:26,Ev,Don Cherry's,"#90 Ryan Willms (#13 Koch Tsatsos, #74 Sean Murphy)",1 - 1 Tie,2025-12-18
1151048,Goal,2nd,03:43,Ev,Don Cherry's,"#74 Sean Murphy (#13 Koch Tsatsos, #90 Ryan Willms)",1 - 2 Cherry's,2025-12-18
1151048,Goal,2nd,01:41,Ev,Don Cherry's,"#24 Dongyeon Kim (#19 Michael Murphy, #11 Jack Pirie)",1 - 3 Cherry's,2025-12-18
1151048,Goal,3rd,13:12,Ev,Don Cherry's,"#13 Koch Tsatsos (#90 Ryan Willms, #14 Jack Spears)",1 - 4 Cherry's,2025-12-18
1151048,Goal,3rd,08:00,Ev,Don Cherry's,"#14 Jack Spears (#13 Koch Tsatsos, #24 Dongyeon Kim)",1 - 5 Cherry's,2025-12-18
1151048,Goal,3rd,04:46,Ev,Don Cherry's,"#90 Ryan Willms (#13 Koch Tsatsos, #88 Sam Pasich)",1 - 6 Cherry's,2025-12-18
1151048,Penalty,1st,08:14,02:00,The Shockers,Hooking (Minor Penalty),,2025-12-18
1151048,Penalty,1st,02:36,02:00,The Shockers,Hooking (Minor Penalty),,2025-12-18
1151048,Penalty,2nd,12:58,02:00,Don Cherry's,Cross-Checking (Minor Penalty),,2025-12-18
1151048,Penalty,3rd,05:59,02:00,The Shockers,Hooking (Minor Penalty),,2025-12-18
1151048,Penalty,3rd,02:01,02:00,The Shockers,Hooking (Minor Penalty),,2025-12-18
1151048,Official,,,,,Convenor: Cindy Brown,,2025-12-18
1151048,Official,,,,,Referee: Mark Donohoe,,2025-12-18
1151048,Official,,,,,Referee: Basil Jones,,2025-12-18
1151037,PeriodScore,Final,,,Muffin Men,5,,2025-12-18
1151037,PeriodScore,Final,,,The Sahara,1,,2025-12-18
1151037,Star,1ST STAR,,,Muffin Men,Owen Burry,,2025-12-18
1151037,Star,2ND STAR,,,Muffin Men,Cosimo Morin,,2025-12-18
1151037,Star,3RD STAR,,,The Sahara,Jake Goldstein,,2025-12-18
1151037,Goal,1st,12:37,Ev,Muffin Men,"#7 Cosimo Morin (#2 Owen Lownie, #27 Alan Wren)",1 - 0 Muffin Men,2025-12-18
1151037,Goal,2nd,09:28,Ev,Muffin Men,#21 Owen Burry (#6 Cole Nead),2 - 0 Muffin Men,2025-12-18
1151037,Goal,2nd,02:59,Ev,Muffin Men,"#21 Owen Burry (#10 Charles Levy, #44 Austin Walker)",3 - 0 Muffin Men,2025-12-18
1151037,Goal,2nd,01:08,Ev,The Sahara,"#93 Jake Goldstein (#8 Mitchell Moloney, #26 Jamal Spencer-Guirgis)",3 - 1 Muffin Men,2025-12-18
1151037,Goal,3rd,01:47,Ev,Muffin Men,#2 Owen Lownie,4 - 1 Muffin Men,2025-12-18
1151037,Goal,3rd,01:23,Ev,Muffin Men,#7 Cosimo Morin (#11 Ryan Irwin),5 - 1 Muffin Men,2025-12-18
1151037,Penalty,3rd,03:08,02:00,Muffin Men,Roughing (Minor Penalty),,2025-12-18
1151037,Penalty,3rd,03:08,02:00,The Sahara,Roughing (Minor Penalty),,2025-12-18
1151037,Official,,,,,Referee: John Hall,,2025-12-18
1151037,Official,,,,,Referee: Shane Bowler,,2025-12-18
1151037,Official,,,,,Convenor: Dan Hickox,,2025-12-18
1151040,PeriodScore,Final,,,4 Lines,4,,2025-12-18
1151040,PeriodScore,Final,,,Flat-Earthers,4,,2025-12-18
1151040,Star,1ST STAR,,,4 Lines,Jamie Poole,,2025-12-18
1151040,Star,2ND STAR,,,Flat-Earthers,Ryan Lee,,2025-12-18
1151040,Star,3RD STAR,,,4 Lines,Shane Ferguson,,2025-12-18
1151040,Goal,1st,12:57,Ev,Flat-Earthers,"#2 Anthony Pennino (#5 Reid Chessell, #8 Ryan Lee)",0 - 1 Earthers,2025-12-18
1151040,Goal,1st,01:16,Ev,4 Lines,#9 Jamie Poole (#19 Ethan Lowe),1 - 1 Tie,2025-12-18
1151040,Goal,2nd,10:54,Ev,4 Lines,"#28 Shane Ferguson (#9 Jamie Poole, #19 Ethan Lowe)",2 - 1 4 Lines,2025-12-18
1151040,Goal,2nd,04:23,Ev,Flat-Earthers,#5 Reid Chessell (#8 Ryan Lee),2 - 2 Tie,2025-12-18
1151040,Goal,2nd,03:30,Ev,4 Lines,"#029 Thomas Mchugh (#28 Shane Ferguson, #10 Luke Gravett)",3 - 2 4 Lines,2025-12-18
1151040,Goal,3rd,09:45,Ev,Flat-Earthers,#8 Ryan Lee (#86 Ethan Hirst),3 - 3 Tie,2025-12-18
1151040,Goal,3rd,03:52,Ev,4 Lines,"#9 Jamie Poole (#28 Shane Ferguson, #29 Aidan O'Brien)",4 - 3 4 Lines,2025-12-18
1151040,Goal,3rd,00:44,PP (EA),Flat-Earthers,#2 Anthony Pennino (#8 Ryan Lee),4 - 4 Tie,2025-12-18
1151040,Penalty,2nd,13:08,02:00,Flat-Earthers,Roughing (Minor Penalty),,2025-12-18
1151040,Penalty,2nd,13:08,02:00,4 Lines,Roughing (Minor Penalty),,2025-12-18
1151040,Penalty,2nd,09:07,02:00,Flat-Earthers,Delay of Game (Minor Penalty),,2025-12-18
1151040,Penalty,2nd,07:59,02:00,4 Lines,Slashing (Minor Penalty),,2025-12-18
1151040,Penalty,3rd,01:38,02:00,4 Lines,Tripping (Minor Penalty),,2025-12-18
1151040,Official,,,,,Convenor: Dan Hickox,,2025-12-18
1151040,Official,,,,,Referee: John Hall,,2025-12-18
1151040,Official,,,,,Referee: Shane Bowler,,2025-12-18
1150350,PeriodScore,Final,,,Muffin Men,1,,2025-12-18
1150350,PeriodScore,Final,,,The Shockers,6,,2025-12-18
1150350,Star,1ST STAR,,,The Shockers,Nick Chong,,2025-12-18
1150350,Star,2ND STAR,,,The Shockers,Marcus Gwyn-Neumann,,2025-12-18
1150350,Star,3RD STAR,,,The Shockers,Michael Maddalena,,2025-12-18
1150350,Goal,1st,14:23,Ev,The Shockers,"#2 Jack Matthews (#9 Josh Pope, #3 Caden Bower)",0 - 1 Shockers,2025-12-18
1150350,Goal,1st,09:09,Ev,The Shockers,#7 Keelan Hughes (#9 Josh Pope),0 - 2 Shockers,2025-12-18
1150350,Goal,2nd,13:44,Ev,The Shockers,#16 Marcus Gwyn-Neumann (#44 Nick Chong),0 - 3 Shockers,2025-12-18
1150350,Goal,2nd,07:27,Ev,The Shockers,#44 Nick Chong,0 - 4 Shockers,2025-12-18
1150350,Goal,2nd,05:28,Ev,The Shockers,#24 Patrick Mcmullan,0 - 5 Shockers,2025-12-18
1150350,Goal,2nd,03:03,Ev,The Shockers,#3 Caden Bower (#85 Maxime Gagnon),0 - 6 Shockers,2025-12-18
1150350,Goal,3rd,04:06,Ev,Muffin Men,#10 Charles Levy (#22 Harris Casper),1 - 6 Shockers,2025-12-18
1150350,Penalty,1st,07:21,02:00,The Shockers,Too Many Men (Bench Minor Penalty),,2025-12-18
1150350,Penalty,2nd,09:46,02:00,Muffin Men,Tripping (Minor Penalty),,2025-12-18
1150350,Penalty,3rd,09:42,02:00,The Shockers,Slashing (Minor Penalty),,2025-12-18
1150350,Official,,,,,Referee: Evan Benwell,,2025-12-18
1150350,Official,,,,,Convenor: Spencer Watt,,2025-12-18
1150350,Official,,,,,Referee: Darcy McNamee,,2025-12-18
1150351,PeriodScore,Final,,,Don Cherry's,4,,2025-12-18
1150351,PeriodScore,Final,,,Flat-Earthers,2,,2025-12-18
1150351,Star,1ST STAR,,,Don Cherry's,Ryan Willms,,2025-12-18
1150351,Star,2ND STAR,,,Don Cherry's,Sean Murphy,,2025-12-18
1150351,Star,3RD STAR,,,Flat-Earthers,Ryan Lee,,2025-12-18
1150351,Goal,1st,11:23,Ev,Flat-Earthers,#8 Ryan Lee (#5 Reid Chessell),0 - 1 Earthers,2025-12-18
1150351,Goal,1st,00:18,Ev,Don Cherry's,"#74 Sean Murphy (#93 Conor Pang, #90 Ryan Willms)",1 - 1 Tie,2025-12-18
1150351,Goal,2nd,11:13,Ev,Flat-Earthers,#5 Reid Chessell (#8 Ryan Lee),1 - 2 Earthers,2025-12-18
1150351,Goal,3rd,08:23,Ev,Don Cherry's,"#3 Nik Tsatsos (#19 Michael Murphy, #21 Cassady Louks)",2 - 2 Tie,2025-12-18
1150351,Goal,3rd,07:12,Ev,Don Cherry's,#90 Ryan Willms (#19 Michael Murphy),3 - 2 Cherry's,2025-12-18
1150351,Goal,3rd,03:11,SH,Don Cherry's,#74 Sean Murphy (#14 Jack Spears),4 - 2 Cherry's,2025-12-18
1150351,Penalty,2nd,09:16,02:00,Don Cherry's,Tripping (Minor Penalty),,2025-12-18
1150351,Penalty,3rd,05:21,02:00,Don Cherry's,Tripping (Minor Penalty),,2025-12-18
1150351,Penalty,3rd,01:51,02:00,Flat-Earthers,Body Contact (Minor Penalty),,2025-12-18
1150351,Official,,,,,Convenor: Cindy Brown,,2025-12-18
1150351,Official,,,,,Referee: Shane Bowler,,2025-12-18
1150351,Official,,,,,Referee: Eric Beltrami,,2025-12-18
1150345,PeriodScore,Final,,,The Sahara,6,,2025-12-18
1150345,PeriodScore,Final,,,4 Lines,4,,2025-12-18
1150345,Star,1ST STAR,,,The Sahara,Sam Goldstein,,2025-12-18
1150345,Star,2ND STAR,,,The Sahara,Derrick Wong,,2025-12-18
1150345,Star,3RD STAR,,,4 Lines,Ryan Fitzgerald,,2025-12-18
1150345,Goal,1st,09:13,Ev,The Sahara,"#3 Isaac Jeffers (#48 Derrick Wong, #14 Wes Martin)",1 - 0 Sahara,2025-12-18
1150345,Goal,1st,02:50,Ev,The Sahara,"#6 Sam Goldstein (#16 Phil Nenadovic, #3 Isaac Jeffers)",2 - 0 Sahara,2025-12-18
1150345,Goal,1st,00:01,SH,4 Lines,#24 Ryan Fitzgerald (#88 Thomas Hunter),2 - 1 Sahara,2025-12-18
1150345,Goal,2nd,13:08,SH,4 Lines,#10 Luke Gravett (#33 Austin Weiler),2 - 2 Tie,2025-12-18
1150345,Goal,3rd,13:50,Ev,4 Lines,#58 Ellis Gerussi-Turner (#9 Jamie Poole),2 - 3 4 Lines,2025-12-18
1150345,Goal,3rd,10:39,Ev,4 Lines,"#11 Thomas Bevilacqua (#17 Adam Miller, #24 Ryan Fitzgerald)",2 - 4 4 Lines,2025-12-18
1150345,Goal,3rd,06:54,Ev,The Sahara,"#16 Phil Nenadovic (#6 Sam Goldstein, #23 Yanir Levy)",3 - 4 4 Lines,2025-12-18
1150345,Goal,3rd,02:39,PP,The Sahara,"#48 Derrick Wong (#17 Brendan Hancock, #3 Isaac Jeffers)",4 - 4 Tie,2025-12-18
1150345,Goal,3rd,02:02,Ev,The Sahara,#6 Sam Goldstein (#48 Derrick Wong),5 - 4 Sahara,2025-12-18
1150345,Goal,3rd,00:37,Ev (EN),The Sahara,#8 Mitchell Moloney (#14 Wes Martin),6 - 4 Sahara,2025-12-18
1150345,Penalty,1st,01:15,04:00,4 Lines,Head Contact (Double Minor Penalty),,2025-12-18
1150345,Penalty,2nd,08:02,02:00,The Sahara,Interference (Minor Penalty),,2025-12-18
1150345,Penalty,2nd,04:48,02:00,The Sahara,Interference (Minor Penalty),,2025-12-18
1150345,Penalty,2nd,03:27,02:00,The Sahara,Slashing (Minor Penalty),,2025-12-18
1150345,Penalty,3rd,03:10,02:00,4 Lines,Roughing (Minor Penalty),,2025-12-18
1150345,Official,,,,,Convenor: Dan Hickox,,2025-12-18
1150345,Official,,,,,Referee: Carlos Verde,,2025-12-18
1150345,Official,,,,,Referee: Mike Bonke,,2025-12-18
1147645,PeriodScore,Final,,,Flat-Earthers,1,,2025-12-18
1147645,PeriodScore,Final,,,Muffin Men,8,,2025-12-18
1147645,Star,1ST STAR,,,Muffin Men,Charles Levy,,2025-12-18
1147645,Star,2ND STAR,,,Muffin Men,Cameron MacDonald,,2025-12-18
1147645,Star,3RD STAR,,,Muffin Men,Cosimo Morin,,2025-12-18
1147645,Goal,1st,13:21,Ev,Flat-Earthers,#71 Aaron Johnson,1 - 0 Earthers,2025-12-18
1147645,Goal,1st,03:22,Ev,Muffin Men,"#11 Ryan Irwin (#21 Owen Burry, #7 Matt Mikelberg)",1 - 1 Tie,2025-12-18
1147645,Goal,1st,02:15,Ev,Muffin Men,"#07 Cosimo Morin (#12 Cole Singleton, #10 Charles Levy)",1 - 2 Muffin Men,2025-12-18
1147645,Goal,1st,00:20,Ev,Muffin Men,"#9 Connor Douglas (#10 Charles Levy, #69 Sean Hoey)",1 - 3 Muffin Men,2025-12-18
1147645,Goal,2nd,14:35,Ev,Muffin Men,#69 Sean Hoey,1 - 4 Muffin Men,2025-12-18
1147645,Goal,2nd,08:58,Ev,Muffin Men,#21 Owen Burry (#10 Charles Levy),1 - 5 Muffin Men,2025-12-18
1147645,Goal,2nd,04:49,Ev,Muffin Men,#10 Charles Levy (#21 Owen Burry),1 - 6 Muffin Men,2025-12-18
1147645,Goal,3rd,10:15,Ev,Muffin Men,#10 Charles Levy (#07 Cosimo Morin),1 - 7 Muffin Men,2025-12-18
1147645,Goal,3rd,00:52,Ev,Muffin Men,#93 Aaron Barrett (#11 Ryan Irwin),1 - 8 Muffin Men,2025-12-18
1147645,Official,,,,,Referee: Evan Benwell,,2025-12-18
1147645,Official,,,,,Referee: Carlos Verde,,2025-12-18
1147645,Official,,,,,Convenor: Spencer Watt,,2025-12-18
1147639,PeriodScore,Final,,,The Shockers,7,,2025-12-18
1147639,PeriodScore,Final,,,The Sahara,1,,2025-12-18
1147639,Star,1ST STAR,,,The Shockers,Alex Matheson,,2025-12-18
1147639,Star,2ND STAR,,,The Shockers,Patrick Mcmullan,,2025-12-18
1147639,Star,3RD STAR,,,The Shockers,Michael Maddalena,,2025-12-18
1147639,Goal,1st,01:30,Ev,The Shockers,"#18 Gabe Fischer-Schmidt (#24 Patrick Mcmullan, #91 Alex Matheson)",1 - 0 Shockers,2025-12-18
1147639,Goal,2nd,14:18,Ev,The Shockers,"#44 Nick Chong (#85 Maxime Gagnon, #0 Julian Ezman)",2 - 0 Shockers,2025-12-18
1147639,Goal,2nd,03:30,Ev,The Shockers,#24 Patrick Mcmullan (#3 Caden Bower),3 - 0 Shockers,2025-12-18
1147639,Goal,2nd,01:37,Ev,The Shockers,#24 Patrick Mcmullan,4 - 0 Shockers,2025-12-18
1147639,Goal,3rd,09:13,Ev,The Sahara,"#27 Ian Istvan (#13 Nolan Klumak, #26 Jamal Spencer-Guirgis)",4 - 1 Shockers,2025-12-18
1147639,Goal,3rd,09:04,Ev,The Shockers,#91 Alex Matheson (#85 Maxime Gagnon),5 - 1 Shockers,2025-12-18
1147639,Goal,3rd,06:48,Ev,The Shockers,#91 Alex Matheson (#24 Patrick Mcmullan),6 - 1 Shockers,2025-12-18
1147639,Goal,3rd,04:30,Ev,The Shockers,"#85 Maxime Gagnon (#3 Caden Bower, #44 Nick Chong)",7 - 1 Shockers,2025-12-18
1147639,Penalty,3rd,13:28,02:00,The Sahara,Roughing (Minor Penalty),,2025-12-18
1147639,Penalty,3rd,13:24,02:00,The Shockers,Interference (Minor Penalty),,2025-12-18
1147639,Official,,,,,Referee: Carlos Verde,,2025-12-18
1147639,Official,,,,,Referee: Evan Benwell,,2025-12-18
1147639,Official,,,,,Convenor: Spencer Watt,,2025-12-18
1147633,PeriodScore,Final,,,4 Lines,5,,2025-12-18
1147633,PeriodScore,Final,,,Don Cherry's,8,,2025-12-18
1147633,Star,1ST STAR,,,Don Cherry's,Koch Tsatsos,,2025-12-18
1147633,Star,2ND STAR,,,Don Cherry's,Michael Murphy,,2025-12-18
1147633,Star,3RD STAR,,,4 Lines,Luke Gravett,,2025-12-18
1147633,Goal,1st,13:42,Ev,Don Cherry's,"#13 Koch Tsatsos (#19 Michael Murphy, #9 Ben Pirie)",0 - 1 Cherry's,2025-12-18
1147633,Goal,1st,11:39,Ev,Don Cherry's,"#13 Koch Tsatsos (#74 Sean Murphy, #4 Colin Digiacomo)",0 - 2 Cherry's,2025-12-18
1147633,Goal,1st,06:58,Ev,Don Cherry's,"#19 Michael Murphy (#88 Sam Pasich, #4 Colin Digiacomo)",0 - 3 Cherry's,2025-12-18
1147633,Goal,1st,05:09,Ev,Don Cherry's,#9 Ben Pirie (#14 Jack Spears),0 - 4 Cherry's,2025-12-18
1147633,Goal,1st,02:19,Ev,4 Lines,#10 Luke Gravett (#11 Thomas Bevilacqua),1 - 4 Cherry's,2025-12-18
1147633,Goal,2nd,12:38,Ev,Don Cherry's,"#11 Jack Pirie (#14 Jack Spears, #90 Ryan Willms)",1 - 5 Cherry's,2025-12-18
1147633,Goal,2nd,07:03,Ev,4 Lines,"#19 Ethan Lowe (#10 Luke Gravett, #58 Ellis Gerussi-Turner)",2 - 5 Cherry's,2025-12-18
1147633,Goal,2nd,05:38,Ev,4 Lines,#81 Spare (#29 Aidan O'Brien),3 - 5 Cherry's,2025-12-18
1147633,Goal,2nd,04:47,Ev,Don Cherry's,"#13 Koch Tsatsos (#14 Jack Spears, #74 Sean Murphy)",3 - 6 Cherry's,2025-12-18
1147633,Goal,3rd,09:12,Ev,4 Lines,"#19 Ethan Lowe (#029 Thomas Mchugh, #58 Ellis Gerussi-Turner)",4 - 6 Cherry's,2025-12-18
1147633,Goal,3rd,04:29,Ev,Don Cherry's,#9 Ben Pirie (#74 Sean Murphy),4 - 7 Cherry's,2025-12-18
1147633,Goal,3rd,03:15,Ev,4 Lines,"#33 Austin Weiler (#17 Adam Miller, #28 Shane Ferguson)",5 - 7 Cherry's,2025-12-18
1147633,Goal,3rd,02:38,Ev,Don Cherry's,"#19 Michael Murphy (#11 Jack Pirie, #24 Dongyeon Kim)",5 - 8 Cherry's,2025-12-18
1147633,Penalty,3rd,00:32,04:00,Don Cherry's,Slashing (Double Minor Penalty),,2025-12-18
1147633,Official,,,,,Referee: Mike Bonke,,2025-12-18
1147633,Official,,,,,Convenor: Dan Hickox,,2025-12-18
1147633,Official,,,,,Referee: Russell Nichols,,2025-12-18
1145319,PeriodScore,Final,,,Muffin Men,5,,2025-12-18
1145319,PeriodScore,Final,,,The Sahara,2,,2025-12-18
1145319,Star,1ST STAR,,,Muffin Men,Aaron Barrett,,2025-12-18
1145319,Star,2ND STAR,,,Muffin Men,Ryan Irwin,,2025-12-18
1145319,Star,3RD STAR,,,The Sahara,Wes Martin,,2025-12-18
1145319,Goal,1st,07:35,Ev,The Sahara,#48 Derrick Wong (#14 Wes Martin),0 - 1 Sahara,2025-12-18
1145319,Goal,1st,06:38,Ev,Muffin Men,#7 Matt Mikelberg (#11 Ryan Irwin),1 - 1 Tie,2025-12-18
1145319,Goal,1st,02:33,Ev,Muffin Men,"#93 Aaron Barrett (#10 Charles Levy, #6 Cole Nead)",2 - 1 Muffin Men,2025-12-18
1145319,Goal,2nd,07:52,Ev,Muffin Men,#11 Ryan Irwin (#10 Charles Levy),3 - 1 Muffin Men,2025-12-18
1145319,Goal,2nd,03:28,PP,The Sahara,"#14 Wes Martin (#26 Jamal Spencer-Guirgis, #17 Brendan Hancock)",3 - 2 Muffin Men,2025-12-18
1145319,Goal,2nd,02:06,Ev,Muffin Men,#93 Aaron Barrett (#11 Ryan Irwin),4 - 2 Muffin Men,2025-12-18
1145319,Goal,3rd,01:49,Ev,Muffin Men,#07 Cosimo Morin,5 - 2 Muffin Men,2025-12-18
1145319,Penalty,1st,00:17,02:00,The Sahara,Tripping (Minor Penalty),,2025-12-18
1145319,Penalty,2nd,11:53,02:00,The Sahara,Cross-Checking (Minor Penalty),,2025-12-18
1145319,Penalty,2nd,06:24,02:00,Muffin Men,Hooking (Minor Penalty),,2025-12-18
1145319,Penalty,3rd,09:36,02:00,The Sahara,Roughing (Minor Penalty),,2025-12-18
1145319,Official,,,,,Convenor: Spencer Watt,,2025-12-18
1145319,Official,,,,,Referee: Brad Kuchar,,2025-12-18
1145319,Official,,,,,Referee: Evan Benwell,,2025-12-18
1145304,PeriodScore,Final,,,Flat-Earthers,2,,2025-12-18
1145304,PeriodScore,Final,,,4 Lines,5,,2025-12-18
1145304,Star,1ST STAR,,,4 Lines,Luke Gravett,,2025-12-18
1145304,Star,2ND STAR,,,Flat-Earthers,Anthony Pennino,,2025-12-18
1145304,Star,3RD STAR,,,4 Lines,Adam Miller,,2025-12-18
1145304,Goal,1st,13:43,Ev,4 Lines,"#28 Shane Ferguson (#88 Thomas Hunter, #10 Luke Gravett)",0 - 1 4 Lines,2025-12-18
1145304,Goal,1st,11:50,Ev,Flat-Earthers,#34 Alex Adolphe (#2 Anthony Pennino),1 - 1 Tie,2025-12-18
1145304,Goal,2nd,11:53,Ev,4 Lines,"#19 Ethan Lowe (#58 Ellis Gerussi-Turner, #24 Ryan Fitzgerald)",1 - 2 4 Lines,2025-12-18
1145304,Goal,2nd,01:58,Ev,Flat-Earthers,"#8 Ryan Lee (#21 Marcus Simmonds, #2 Anthony Pennino)",2 - 2 Tie,2025-12-18
1145304,Goal,3rd,11:16,PP,4 Lines,"#10 Luke Gravett (#3 Elliott Sharp, #28 Shane Ferguson)",2 - 3 4 Lines,2025-12-18
1145304,Goal,3rd,06:44,Ev,4 Lines,"#17 Adam Miller (#10 Luke Gravett, #28 Shane Ferguson)",2 - 4 4 Lines,2025-12-18
1145304,Goal,3rd,01:55,Ev (EN),4 Lines,#10 Luke Gravett,2 - 5 4 Lines,2025-12-18
1145304,Penalty,2nd,07:53,02:00,4 Lines,Too Many Men (Bench Minor Penalty),,2025-12-18
1145304,Penalty,3rd,13:04,02:00,Flat-Earthers,Too Many Men (Bench Minor Penalty),,2025-12-18
